Hipótesis;TP;FP;FN;Precision;Recall;F1-Score
DD;31;86;58;0.26495726495726496;0.34831460674157305;0.3009708737864078
DN;29;103;60;0.2196969696969697;0.3258426966292135;0.26244343891402716
ND;34;53;55;0.39080459770114945;0.38202247191011235;0.38636363636363635
NN;40;58;50;0.40816326530612246;0.4444444444444444;0.425531914893617
