Hipótesis;TP;FP;FN;Precision;Recall;F1-Score
DD;41;76;48;0.3504273504273504;0.4606741573033708;0.39805825242718446
DN;41;91;49;0.3106060606060606;0.45555555555555555;0.3693693693693693
ND;43;44;46;0.4942528735632184;0.48314606741573035;0.48863636363636365
NN;50;48;40;0.5102040816326531;0.5555555555555556;0.5319148936170212
